"GenusSpp","Conc.cellsmL","totbiovol.um3mL","indbiovol.um3","date","month","CY","genus","order","class","diaztroph","diaztroph.fac"
"Coelosphaerium kuetzingianum",3100.43668122271,43809.1703056769,14.13,2019-06-11,6,2019,"Coelosphaerium","Synechococcales","Cyanophyceae",0,"nondiaz"
"Coelosphaerium sp.",63,NA,8.2,2015-06-15,6,2015,"Coelosphaerium","Synechococcales","Cyanophyceae",0,"nondiaz"
"Coelosphaerium subarcticum",141666.666666667,593111.111111111,4.18666666666667,2016-09-15,9,2016,"Coelosphaerium","Synechococcales","Cyanophyceae",0,"nondiaz"
"Coenochloris fottii",471.2352,NA,107.5,2012-06-13,6,2012,"Coenochloris","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Coenochloris fottii",40,NA,321.6,2014-10-15,10,2014,"Coenochloris","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Coenochloris fottii",112,NA,69.5,2016-06-15,6,2016,"Coenochloris","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Coenochloris fottii",80,NA,87.1,2014-09-15,9,2014,"Coenochloris","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Coenochloris fottii",235.6176,NA,41.6,2013-05-05,5,2013,"Coenochloris","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Coenochloris fottii",24,NA,87.1,2015-06-15,6,2015,"Coenochloris","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Coenochloris fottii",80,NA,87.1,2014-08-14,8,2014,"Coenochloris","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Coenococcus planctonicus",1562,22071.06,14.13,2020-05-12,5,2020,"Coenococcus","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Colonial greens",500,133973.333333333,267.946666666667,2020-06-16,6,2020,NA,"unid","unid",NA,"NoClass"
"Colonial greens",150,2119.5,14.13,2020-07-14,7,2020,NA,"unid","unid",NA,"NoClass"
"Coronastrum ellipsoideum",2222.22222222222,23259.2592592593,10.4666666666667,2016-09-15,9,2016,"Coronastrum","Chlorellales","Trebouxiophyceae",NA,"NoClass"
"Cosmarium",113.6,26752.8,235.5,2019-07-16,7,2019,"Cosmarium","Zygnematales","Zygnematophyceae",NA,"NoClass"
"Cosmarium sp.",60.8571428571428,22930.9714285714,376.8,2017-07-11,7,2017,"Cosmarium","Zygnematales","Zygnematophyceae",NA,"NoClass"
"Cosmarium sp.",5,NA,NA,2009-08-23,8,2009,"Cosmarium","Zygnematales","Zygnematophyceae",NA,"NoClass"
"Cosmarium sp.",50,22608,452.16,2017-06-13,6,2017,"Cosmarium","Zygnematales","Zygnematophyceae",NA,"NoClass"
"Cosmarium sp.",2222.22222222222,1786311.11111111,803.84,2016-09-15,9,2016,"Cosmarium","Zygnematales","Zygnematophyceae",NA,"NoClass"
"Cosmarium sp.",16.9047619047619,8280.62857142857,489.84,2018-05-15,5,2018,"Cosmarium","Zygnematales","Zygnematophyceae",NA,"NoClass"
"Cosmarium sp.",100,37680,376.8,2016-07-15,7,2016,"Cosmarium","Zygnematales","Zygnematophyceae",NA,"NoClass"
"Cosmarium sp.",100,37680,376.8,2017-05-15,5,2017,"Cosmarium","Zygnematales","Zygnematophyceae",NA,"NoClass"
"Cosmarium sp.",325,138788,427.04,2016-10-16,10,2016,"Cosmarium","Zygnematales","Zygnematophyceae",NA,"NoClass"
"Cosmarium sp.",250,33493.3333333333,133.973333333333,2017-08-15,8,2017,"Cosmarium","Zygnematales","Zygnematophyceae",NA,"NoClass"
"Cosmarium sp.",50,22608,452.16,2016-08-15,8,2016,"Cosmarium","Zygnematales","Zygnematophyceae",NA,"NoClass"
"Crucigenia fenestrata",2400,10048,4.18666666666667,2017-06-13,6,2017,"Crucigenia","unid","Trebouxiophyceae",NA,"NoClass"
"Crucigenia quadrata",47.3333333333333,668.82,14.13,2020-05-12,5,2020,"Crucigenia","unid","Trebouxiophyceae",NA,"NoClass"
"Crucigenia sp.",200,6698.66666666667,33.4933333333333,2020-06-16,6,2020,"Crucigenia","unid","Trebouxiophyceae",NA,"NoClass"
"Crucigenia tetrapedia",170.4,3210.336,18.84,2019-07-16,7,2019,"Crucigenia","unid","Trebouxiophyceae",NA,"NoClass"
"Crucigenia tetrapedia",162.285714285714,679.43619047619,4.18666666666667,2017-07-11,7,2017,"Crucigenia","unid","Trebouxiophyceae",NA,"NoClass"
"Crucigenia truncata ",366.451612903226,10355.9225806452,28.26,2019-10-15,10,2019,"Willea","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Crucigeniella crucifera",162.285714285714,4586.19428571429,28.26,2017-07-11,7,2017,"Willea","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Crucigeniella crucifera",400,9420,23.55,2020-08-11,8,2020,"Willea","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Crucigeniella crucifera",1350,67824,50.24,2016-10-16,10,2016,"Willea","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Crucigeniella crucifera",600,40192,66.9866666666667,2016-07-15,7,2016,"Willea","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Crucigeniella crucifera",800,6698.66666666667,8.37333333333333,2020-06-16,6,2020,"Willea","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Crucigeniella crucifera",400,2512,6.28,2019-08-13,8,2019,"Willea","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Crucigeniella crucifera",18611.1111111111,935022.222222222,50.24,2016-09-15,9,2016,"Willea","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Crucigeniella pulchra",3926.96,NA,15.7,2014-07-14,7,2014,"Willea","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Crucigeniella pulchra",80,NA,15.7,2014-08-14,8,2014,"Willea","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Crucigeniella pulchra",400,NA,15.7,2014-10-15,10,2014,"Willea","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Crucigeniella pulchra",392.696,NA,98.2,2016-06-15,6,2016,"Willea","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Crucigeniella pulchra",40,NA,15.7,2014-09-15,9,2014,"Willea","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Crucigeniella rectangularis",1200,33912,28.26,2016-08-15,8,2016,"Willea","Sphaeropleales","Chlorophyceae",NA,"NoClass"
"Crucigeniella sp.",7853.92,NA,14.7,2015-07-15,7,2015,"Crucigenia","unid","Trebouxiophyceae",NA,"NoClass"
"Crucigeniella sp.",33,NA,45,2015-06-15,6,2015,"Crucigenia","unid","Trebouxiophyceae",NA,"NoClass"
"Crucigeniella sp.",453.648,NA,12.5,2013-08-13,8,2013,"Crucigenia","unid","Trebouxiophyceae",NA,"NoClass"
"Crucigeniella sp.",8,NA,14.7,2014-05-20,5,2014,"Crucigenia","unid","Trebouxiophyceae",NA,"NoClass"
"Cryptomonas",3.10043668122271,3738.38253275109,1205.76,2019-06-11,6,2019,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas brevis",50,88443.3333333333,1768.86666666667,2018-06-12,6,2018,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas cf. erosa",78.5392,589420.98816,3534.3,2014-06-16,6,2014,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas cf. ovata",314.1568,1273041.8928,2562.7,2013-05-05,5,2013,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas cf. ovata",10,NA,1431.7,2014-09-15,9,2014,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas cf. ovata",10,21937,1636.2,2015-07-15,7,2015,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas cf. ovata",6,NA,1636.2,2015-06-15,6,2015,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas cf. ovata",1,NA,1636.2,2015-05-15,5,2015,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas cf. ovata",2,NA,1089.1,2014-05-20,5,2014,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas cf. ovata",5,NA,NA,2009-08-23,8,2009,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas cf. ovata",80,70400,880,2014-07-14,7,2014,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas cf. ovata",4,4335.2,1083.8,2016-06-15,6,2016,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas cf. ovata",78.5392,NA,1887.3,2014-06-16,6,2014,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas cf. ovata",2,2340,1170,2012-10-24,10,2012,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas curvata",2110,15086011.8422748,7149.76864562788,2017-10-17,10,2017,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas erosa",15425,29640605.9695216,1921.59520061728,2016-08-15,8,2016,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas erosa",91.6129032258064,236885.736021505,2585.72458333333,2019-10-15,10,2019,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas erosa",160,42871.4666666667,267.946666666667,2017-10-17,10,2017,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas erosa",113.6,437962.051950617,3855.29975308642,2018-10-16,10,2018,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas erosa",350,1255030.86419753,3585.8024691358,2018-08-14,8,2018,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas erosa",125,117750,942,2019-08-13,8,2019,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas erosa",50,241989.333333333,4839.78666666667,2018-06-12,6,2018,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas erosa",50,214357.333333333,4287.14666666667,2020-08-11,8,2020,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas erosa",162.285714285714,135887.238095238,837.333333333333,2017-07-11,7,2017,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas erosa",50,105504,2110.08,2020-07-14,7,2020,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas erosa",137.41935483871,143832.258064516,1046.66666666667,2018-09-11,9,2018,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas erosa",1750,2637600,1507.2,2017-08-15,8,2017,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas erosa",56.8,59450.6666666667,1046.66666666667,2019-07-16,7,2019,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas erosa",50,102573.333333333,2051.46666666667,2017-05-15,5,2017,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas erosa",56.8,135436.05,2384.4375,2019-05-14,5,2019,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas erosa",450,1328265.216,2951.70048,2016-10-16,10,2016,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas erosa",118.333333333333,142681.6,1205.76,2020-09-15,9,2020,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas erosa",555.555555555556,753600,1356.48,2016-09-15,9,2016,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas marsonii",50,41866.6666666667,837.333333333333,2017-10-17,10,2017,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas marsonii",500,523333.333333333,1046.66666666667,2017-08-15,8,2017,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas marssonii",250,224346.458333333,897.385833333333,2020-06-16,6,2020,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas marssonii",28.4,8560.896,301.44,2019-05-14,5,2019,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas marssonii",700,623133,890.19,2019-08-13,8,2019,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas marssonii",100,89019,890.19,2018-06-12,6,2018,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas marssonii",300,282646.518518519,942.155061728395,2018-08-14,8,2018,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas marssonii",45.8064516129032,26081.5827956989,569.386666666667,2018-09-11,9,2018,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas marssonii",75,113040,1507.2,2017-09-12,9,2017,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas marssonii",125,140500,1124,2016-08-15,8,2016,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas marssonii",227.2,106535.594666667,468.906666666667,2019-07-16,7,2019,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas marssonii",50,23445.3333333333,468.906666666667,2019-09-17,9,2019,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas marssonii",50,33493.3333333333,669.866666666667,2020-08-11,8,2020,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas ovata",6575,24572250.6392045,3737.22443181818,2017-09-12,9,2017,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas ovata",18.902,48670.7598,2574.9,2011-06-26,6,2011,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas ovata  ",30,61544,2051.46666666667,2017-10-17,10,2017,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas ovata  ",50,282600,5652,2020-07-14,7,2020,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas parapyrenoidifera",33.8095238095238,50957.7142857143,1507.2,2018-05-15,5,2018,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas parapyrenoidifera",200,451322.666666667,2256.61333333333,2018-08-14,8,2018,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas parapyrenoidifera",75,153860,2051.46666666667,2016-10-16,10,2016,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas parapyrenoidifera",250,100480,401.92,2017-08-15,8,2017,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas phaseolus",80,66986.6666666667,837.333333333333,2017-10-17,10,2017,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas phaseolus",568,647417.76,1139.82,2018-07-17,7,2018,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas phaseolus",300,188400,628,2016-08-15,8,2016,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas pyrenoidifera",1250,4482253.08641975,3585.8024691358,2018-08-14,8,2018,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas reflexa",50,272238,5444.76,2020-06-16,6,2020,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas reflexa",25,52752,2110.08,2019-08-13,8,2019,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas reflexa",118.333333333333,380484.266666667,3215.36,2020-09-15,9,2020,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas reflexa",50,119398.5,2387.97,2019-09-17,9,2019,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas reflexa",1111.11111111111,595437.037037037,535.893333333333,2016-09-15,9,2016,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas reflexa",23.6666666666667,48142.6544444444,2034.19666666667,2020-05-12,5,2020,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas reflexa",37.8666666666667,132059.747555556,3487.49333333333,2018-10-16,10,2018,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas reflexa",950,1446506.41666667,1522.63833333333,2016-08-15,8,2016,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas sp.",50,16746.6666666667,334.933333333333,2017-05-15,5,2017,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas sp.",25,23550,942,2019-09-17,9,2019,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas sp.",157.0784,NA,1457.5,2013-05-05,5,2013,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas sp.",118.333333333333,662131.8,5595.48,2020-09-15,9,2020,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas sp.",1000,745071.604938272,745.071604938272,2016-07-15,7,2016,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas sp.",3000,3476100,1158.7,2016-08-15,8,2016,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas sp.",3,NA,2658.9,2015-05-15,5,2015,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas sp.",50,86664,1733.28,2020-06-16,6,2020,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas sp.",250,376800,1507.2,2017-08-15,8,2017,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas sp.",50,94200,1884,2020-08-11,8,2020,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas sp.",50,75360,1507.2,2018-08-14,8,2018,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas sp.",25,18316.6666666667,732.666666666667,2019-08-13,8,2019,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas sp.",680.472,1319843.4912,1939.6,2013-08-13,8,2013,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas sp.",75.7333333333333,83924.5244444445,1108.15833333333,2018-10-16,10,2018,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas sp.",100,374104.833333333,3741.04833333333,2020-07-14,7,2020,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas sp.",277.777777777778,290740.740740741,1046.66666666667,2016-09-15,9,2016,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas sp.",392.696,436635.616,1021,2014-09-15,9,2014,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas tetrapyrenoidosa",150,226080,1507.2,2017-06-13,6,2017,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas tetrapyrenoidosa",50,234453.333333333,4689.06666666667,2020-06-16,6,2020,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas tetrapyrenoidosa",4000,7743658.66666667,1935.91466666667,2016-08-15,8,2016,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"Cryptomonas tetrapyrenoidosa",50,153075,3061.5,2020-08-11,8,2020,"Cryptomonas","Cryptomonadales","Cryptophyceae",NA,"NoClass"
"cryptophyte sp.",2670.3328,NA,59.9,2013-05-05,5,2013,NA,"unid","Cryptophyceae",NA,"NoClass"
"cryptophyte sp.",10,NA,557.5,2015-07-15,7,2015,NA,"unid","Cryptophyceae",NA,"NoClass"
"cryptophyte sp.",5,NA,NA,2009-08-23,8,2009,NA,"unid","Cryptophyceae",NA,"NoClass"
"cryptophyte sp.",20,NA,1068.8,2014-09-15,9,2014,NA,"unid","Cryptophyceae",NA,"NoClass"
"cryptophyte sp.",10,NA,439.6,2015-08-16,8,2015,NA,"unid","Cryptophyceae",NA,"NoClass"
"cryptophyte sp.",20,16560,608.2,2015-08-16,8,2015,NA,"unid","Cryptophyceae",NA,"NoClass"
"cryptophyte sp.",157.0784,197777.11536,640.4,2015-05-15,5,2015,NA,"unid","Cryptophyceae",NA,"NoClass"
"cryptophyte sp.",157.0784,NA,557.5,2015-05-15,5,2015,NA,"unid","Cryptophyceae",NA,"NoClass"
"cryptophyte sp.",1,NA,1337.2,2015-06-15,6,2015,NA,"unid","Cryptophyceae",NA,"NoClass"
"cryptophyte sp.",60,54036,900.6,2014-10-15,10,2014,NA,"unid","Cryptophyceae",NA,"NoClass"
"cryptophyte sp.",1,NA,375.1,2014-05-20,5,2014,NA,"unid","Cryptophyceae",NA,"NoClass"
"cryptophyte sp.",157.0784,NA,503.3,2013-05-05,5,2013,NA,"unid","Cryptophyceae",NA,"NoClass"
"cryptophyte sp.",39.2696,29778.91368,418.5,2014-05-20,5,2014,NA,"unid","Cryptophyceae",NA,"NoClass"
"cryptophyte sp.",235.6176,NA,511.2,2014-06-16,6,2014,NA,"unid","Cryptophyceae",NA,"NoClass"
"Cuspidothrix issatschenkoi",320,NA,51.6,2015-08-16,8,2015,"Cuspidothrix","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Cuspidothrix issatschenkoi",3333.33333333333,141300,42.39,2018-06-12,6,2018,"Cuspidothrix","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Cuspidothrix issatschenkoi",280,NA,70,2014-08-14,8,2014,"Cuspidothrix","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Cuspidothrix issatschenkoi",520,NA,30.3,2013-09-23,9,2013,"Cuspidothrix","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Cuspidothrix issatschenkoi",2508.66666666667,189053.12,75.36,2018-07-17,7,2018,"Cuspidothrix","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Cuspidothrix issatschenkoi",90,NA,61.9,2014-05-20,5,2014,"Cuspidothrix","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Cuspidothrix issatschenkoi",100,NA,45.7,2014-10-15,10,2014,"Cuspidothrix","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Cuspidothrix issatschenkoi",30237.592,NA,57.4,2012-08-03,8,2012,"Cuspidothrix","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Cuspidothrix issatschenkoi",1150,56873.25,49.455,2020-06-16,6,2020,"Cuspidothrix","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Cuspidothrix issatschenkoi",16331.328,NA,33.7,2012-08-28,8,2012,"Cuspidothrix","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Cuspidothrix issatschenkoi",81000,3434400,0,2020-08-11,8,2020,"Cuspidothrix","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Cuspidothrix issatschenkoi",210,NA,44.9,2013-08-13,8,2013,"Cuspidothrix","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Cyanocatena planctonica",69271.5744,NA,0.4,2014-09-15,9,2014,"Cyanocatena","Synechococcales","Cyanophyceae",0,"nondiaz"
"Cyanocatena planctonica",179644.608,NA,0.3,2013-08-13,8,2013,"Cyanocatena","Synechococcales","Cyanophyceae",0,"nondiaz"
"Cyanocatena planctonica",25917.936,NA,0.6,2012-06-13,6,2012,"Cyanocatena","Synechococcales","Cyanophyceae",0,"nondiaz"
"Cyanocatena planctonica",18064.016,NA,0.4,2014-05-20,5,2014,"Cyanocatena","Synechococcales","Cyanophyceae",0,"nondiaz"
"Cyanocatena planctonica",25132.544,NA,0.4,2015-06-15,6,2015,"Cyanocatena","Synechococcales","Cyanophyceae",0,"nondiaz"
"Cyanocatena planctonica",160219.968,NA,0.4,2014-08-14,8,2014,"Cyanocatena","Synechococcales","Cyanophyceae",0,"nondiaz"
"Cyanocatena planctonica",10053.0176,NA,0.4,2014-06-16,6,2014,"Cyanocatena","Synechococcales","Cyanophyceae",0,"nondiaz"
"Cyanocatena planctonica",452385.792,NA,0.4,2014-07-14,7,2014,"Cyanocatena","Synechococcales","Cyanophyceae",0,"nondiaz"
"Cyanocatena planctonica",219909.76,NA,0.4,2015-08-16,8,2015,"Cyanocatena","Synechococcales","Cyanophyceae",0,"nondiaz"
"Cyanocatena planctonica",100530.176,NA,0.4,2014-10-15,10,2014,"Cyanocatena","Synechococcales","Cyanophyceae",0,"nondiaz"
"Cyanocatena planctonica",395837.568,NA,0.3,2016-06-15,6,2016,"Cyanocatena","Synechococcales","Cyanophyceae",0,"nondiaz"
"Cyanocatena planctonica",21362.6624,NA,0.3,2013-05-05,5,2013,"Cyanocatena","Synechococcales","Cyanophyceae",0,"nondiaz"
"Cyanocatena planctonica",376988.16,NA,0.4,2015-07-15,7,2015,"Cyanocatena","Synechococcales","Cyanophyceae",0,"nondiaz"
"Cyanocatena planctonica",20734.3488,NA,0.4,2015-05-15,5,2015,"Cyanocatena","Synechococcales","Cyanophyceae",0,"nondiaz"
"Cyanocatena planctonica",5026.5088,NA,0.3,2016-05-15,5,2016,"Cyanocatena","Synechococcales","Cyanophyceae",0,"nondiaz"
"Cyanocatena planctonica",23561.76,NA,0.4,2015-09-15,9,2015,"Cyanocatena","Synechococcales","Cyanophyceae",0,"nondiaz"
"Cyanocatena sp.",946990.2,NA,NA,2009-08-23,8,2009,"Cyanocatena","Synechococcales","Cyanophyceae",0,"nondiaz"
"Cyanodictyon imperfectum",71627.7504,NA,0.4,2014-09-15,9,2014,"Cyanocatena","Synechococcales","Cyanophyceae",0,"nondiaz"
"Cyanodictyon imperfectum",785392,NA,0.4,2013-09-23,9,2013,"Cyanocatena","Synechococcales","Cyanophyceae",0,"nondiaz"
"Cyanodictyon imperfectum",848223.36,NA,0.4,2015-07-15,7,2015,"Cyanocatena","Synechococcales","Cyanophyceae",0,"nondiaz"
"Cyanodictyon imperfectum",339289.344,NA,0.4,2015-08-16,8,2015,"Cyanocatena","Synechococcales","Cyanophyceae",0,"nondiaz"
"Cyanodictyon imperfectum",6135135.552,NA,0.4,2013-08-13,8,2013,"Cyanocatena","Synechococcales","Cyanophyceae",0,"nondiaz"
"Cyanodictyon imperfectum",165874.7904,NA,0.4,2015-05-15,5,2015,"Cyanocatena","Synechococcales","Cyanophyceae",0,"nondiaz"
"Cyanodictyon imperfectum",2450423.04,NA,0.4,2014-08-14,8,2014,"Cyanocatena","Synechococcales","Cyanophyceae",0,"nondiaz"
"Cyanodictyon imperfectum",703711.232,NA,0.3,2016-06-15,6,2016,"Cyanocatena","Synechococcales","Cyanophyceae",0,"nondiaz"
"Cyanodictyon imperfectum",433536.384,NA,0.4,2014-10-15,10,2014,"Cyanocatena","Synechococcales","Cyanophyceae",0,"nondiaz"
"Cyanodictyon imperfectum",579619.296,NA,0.4,2015-06-15,6,2015,"Cyanocatena","Synechococcales","Cyanophyceae",0,"nondiaz"
"Cyanodictyon imperfectum",223051.328,NA,0.4,2014-05-20,5,2014,"Cyanocatena","Synechococcales","Cyanophyceae",0,"nondiaz"
